날짜,출연자,소스,값
2025-12-28,손종원,datalab,69.05945
2025-12-28,손종원,google,79.0
2025-12-28,손종원,youtube,83.0
2025-12-28,아기맹수,datalab,35.06956
2025-12-28,아기맹수,google,36.0
2025-12-28,아기맹수,youtube,33.0
2025-12-28,요리괴물,datalab,15.83713
2025-12-28,요리괴물,google,22.0
2025-12-28,요리괴물,youtube,40.0
2025-12-28,윤준모,datalab,25.08151
2025-12-28,윤준모,google,0.0
2025-12-28,윤준모,youtube,9.0
2025-12-28,임성근,datalab,21.85236
2025-12-28,임성근,google,37.0
2025-12-28,임성근,youtube,32.0
2025-12-28,정호영,datalab,49.80997
2025-12-28,정호영,google,37.0
2025-12-28,정호영,youtube,69.0
2025-12-28,최강록,datalab,15.08003
2025-12-28,최강록,google,23.0
2025-12-28,최강록,youtube,18.0
2025-12-28,후덕죽,datalab,28.94989
2025-12-28,후덕죽,google,38.0
2025-12-28,후덕죽,youtube,26.0
2025-12-29,샘킴,datalab,24.57307
2025-12-29,샘킴,google,24.0
2025-12-29,샘킴,youtube,49.0
2025-12-29,선재스님,datalab,22.544
2025-12-29,선재스님,google,24.0
2025-12-29,선재스님,youtube,18.0
2025-12-29,손종원,datalab,62.13909
2025-12-29,손종원,google,71.0
2025-12-29,손종원,youtube,78.0
2025-12-29,아기맹수,datalab,25.74792
2025-12-29,아기맹수,google,28.0
2025-12-29,아기맹수,youtube,32.0
2025-12-29,요리괴물,datalab,11.4425
2025-12-29,요리괴물,google,22.0
2025-12-29,요리괴물,youtube,29.0
2025-12-29,윤준모,datalab,16.8171
2025-12-29,윤준모,google,0.0
2025-12-29,윤준모,youtube,9.0
2025-12-29,임성근,datalab,19.69486
2025-12-29,임성근,google,47.0
2025-12-29,임성근,youtube,40.0
2025-12-29,정호영,datalab,38.04038
2025-12-29,정호영,google,32.0
2025-12-29,정호영,youtube,66.0
2025-12-29,최강록,datalab,9.45436
2025-12-29,최강록,google,16.0
2025-12-29,최강록,youtube,15.0
2025-12-29,후덕죽,datalab,17.35457
2025-12-29,후덕죽,google,29.0
2025-12-29,후덕죽,youtube,22.0
2025-12-30,샘킴,datalab,63.22128
2025-12-30,샘킴,google,98.0
2025-12-30,샘킴,youtube,81.0
2025-12-30,선재스님,datalab,54.59229
2025-12-30,선재스님,google,70.0
2025-12-30,선재스님,youtube,36.0
2025-12-30,손종원,datalab,74.79227
2025-12-30,손종원,google,100.0
2025-12-30,손종원,youtube,93.0
2025-12-30,아기맹수,datalab,22.97028
2025-12-30,아기맹수,google,77.0
2025-12-30,아기맹수,youtube,49.0
2025-12-30,요리괴물,datalab,41.38804
2025-12-30,요리괴물,google,100.0
2025-12-30,요리괴물,youtube,78.0
2025-12-30,윤준모,datalab,76.64138
2025-12-30,윤준모,google,100.0
2025-12-30,윤준모,youtube,67.0
2025-12-30,임성근,datalab,70.72481
2025-12-30,임성근,google,100.0
2025-12-30,임성근,youtube,93.0
2025-12-30,정호영,datalab,59.86935
2025-12-30,정호영,google,86.0
2025-12-30,정호영,youtube,90.0
2025-12-30,최강록,datalab,12.76374
2025-12-30,최강록,google,31.0
2025-12-30,최강록,youtube,21.0
2025-12-30,후덕죽,datalab,42.68573
2025-12-30,후덕죽,google,67.0
2025-12-30,후덕죽,youtube,45.0
2025-12-31,샘킴,datalab,100.0
2025-12-31,샘킴,google,97.0
2025-12-31,샘킴,youtube,100.0
2025-12-31,선재스님,datalab,96.06589
2025-12-31,선재스님,google,92.0
2025-12-31,선재스님,youtube,60.0
2025-12-31,손종원,datalab,100.0
2025-12-31,손종원,google,91.0
2025-12-31,손종원,youtube,93.0
2025-12-31,아기맹수,datalab,33.08699
2025-12-31,아기맹수,google,96.0
2025-12-31,아기맹수,youtube,70.0
2025-12-31,요리괴물,datalab,87.11372
2025-12-31,요리괴물,google,94.0
2025-12-31,요리괴물,youtube,100.0
2025-12-31,윤준모,datalab,100.0
2025-12-31,윤준모,google,44.0
2025-12-31,윤준모,youtube,100.0
2025-12-31,임성근,datalab,100.0
2025-12-31,임성근,google,100.0
2025-12-31,임성근,youtube,100.0
2025-12-31,정호영,datalab,80.21377
2025-12-31,정호영,google,100.0
2025-12-31,정호영,youtube,95.0
2025-12-31,최강록,datalab,20.73842
2025-12-31,최강록,google,30.0
2025-12-31,최강록,youtube,21.0
2025-12-31,후덕죽,datalab,69.83106
2025-12-31,후덕죽,google,80.0
2025-12-31,후덕죽,youtube,58.0
2026-01-01,샘킴,datalab,93.36688
2026-01-01,샘킴,google,87.0
2026-01-01,샘킴,youtube,96.0
2026-01-01,선재스님,datalab,100.0
2026-01-01,선재스님,google,86.0
2026-01-01,선재스님,youtube,54.0
2026-01-01,손종원,datalab,91.60754
2026-01-01,손종원,google,92.0
2026-01-01,손종원,youtube,94.0
2026-01-01,아기맹수,datalab,27.95983
2026-01-01,아기맹수,google,186.0
2026-01-01,아기맹수,youtube,69.0
2026-01-01,요리괴물,datalab,60.19503
2026-01-01,요리괴물,google,69.0
2026-01-01,요리괴물,youtube,74.0
2026-01-01,윤준모,datalab,88.5472
2026-01-01,윤준모,google,47.0
2026-01-01,윤준모,youtube,83.0
2026-01-01,임성근,datalab,92.13027
2026-01-01,임성근,google,93.0
2026-01-01,임성근,youtube,82.0
